cluster,Label
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
4,rice
6,maize
1,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
1,maize
6,maize
6,maize
3,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
3,maize
6,maize
6,maize
6,maize
6,maize
3,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
6,maize
0,chickpea
0,chickpea
3,chickpea
0,chickpea
0,chickpea
3,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
3,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
3,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
3,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
3,kidneybeans
5,pigeonpeas
5,pigeonpeas
5,pigeonpeas
5,pigeonpeas
3,pigeonpeas
5,pigeonpeas
5,pigeonpeas
5,pigeonpeas
5,pigeonpeas
5,pigeonpeas
5,pigeonpeas
1,pigeonpeas
5,pigeonpeas
1,pigeonpeas
5,pigeonpeas
5,pigeonpeas
3,pigeonpeas
3,pigeonpeas
5,pigeonpeas
3,pigeonpeas
3,pigeonpeas
5,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
5,pigeonpeas
5,pigeonpeas
5,pigeonpeas
3,pigeonpeas
5,pigeonpeas
5,pigeonpeas
5,pigeonpeas
3,pigeonpeas
5,pigeonpeas
3,pigeonpeas
5,pigeonpeas
1,pigeonpeas
3,pigeonpeas
5,pigeonpeas
5,pigeonpeas
5,pigeonpeas
5,pigeonpeas
5,pigeonpeas
3,pigeonpeas
1,pigeonpeas
3,pigeonpeas
1,pigeonpeas
5,pigeonpeas
5,pigeonpeas
3,pigeonpeas
3,pigeonpeas
5,pigeonpeas
1,pigeonpeas
3,pigeonpeas
5,pigeonpeas
5,pigeonpeas
5,pigeonpeas
5,pigeonpeas
5,pigeonpeas
3,pigeonpeas
5,pigeonpeas
5,pigeonpeas
3,pigeonpeas
1,pigeonpeas
3,pigeonpeas
3,pigeonpeas
5,pigeonpeas
5,pigeonpeas
1,pigeonpeas
5,pigeonpeas
5,pigeonpeas
3,pigeonpeas
5,pigeonpeas
3,pigeonpeas
1,pigeonpeas
5,pigeonpeas
5,pigeonpeas
1,pigeonpeas
5,pigeonpeas
5,pigeonpeas
3,pigeonpeas
3,pigeonpeas
5,pigeonpeas
5,pigeonpeas
1,pigeonpeas
3,pigeonpeas
5,pigeonpeas
1,pigeonpeas
5,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
5,pigeonpeas
4,pigeonpeas
1,pigeonpeas
4,pigeonpeas
3,pigeonpeas
3,pigeonpeas
5,mothbeans
5,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
5,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
5,mothbeans
1,mothbeans
1,mothbeans
5,mothbeans
1,mothbeans
5,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
5,mothbeans
5,mothbeans
1,mothbeans
5,mothbeans
1,mothbeans
5,mothbeans
5,mothbeans
5,mothbeans
5,mothbeans
5,mothbeans
5,mothbeans
5,mothbeans
5,mothbeans
1,mothbeans
5,mothbeans
1,mothbeans
5,mothbeans
5,mothbeans
1,mothbeans
1,mothbeans
5,mothbeans
5,mothbeans
1,mothbeans
5,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
5,mothbeans
5,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
5,mothbeans
5,mothbeans
5,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
5,mothbeans
5,mothbeans
1,mothbeans
1,mothbeans
5,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
5,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
5,mothbeans
5,mothbeans
1,mothbeans
1,mothbeans
5,mothbeans
5,mothbeans
5,mothbeans
5,mothbeans
1,mothbeans
1,mothbeans
5,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
5,mothbeans
1,mothbeans
5,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
1,mothbeans
5,mothbeans
5,mothbeans
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,mungbean
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,blackgram
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
3,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
3,lentil
1,lentil
1,lentil
3,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
5,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
3,lentil
3,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
3,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
1,lentil
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
7,pomegranate
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
6,banana
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
1,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
1,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
1,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
1,mango
5,mango
5,mango
1,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
1,mango
5,mango
5,mango
5,mango
5,mango
5,mango
1,mango
5,mango
5,mango
5,mango
1,mango
1,mango
5,mango
5,mango
5,mango
5,mango
1,mango
5,mango
5,mango
5,mango
5,mango
1,mango
5,mango
5,mango
5,mango
5,mango
1,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
5,mango
1,mango
5,mango
5,mango
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
2,grapes
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
6,watermelon
